startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Trips and Events In and Around San Sebastian,"<p class=""lead"">To be sure to make the most of your stay abroad in San Sebastián, try to <b>participate in as many things as possible</b>.Here is a timeline of the events we can definitely recommend to you. <b>You can also check our <a href=""https://msgw.deusto.es/en/2020/for-the-lucky-ones-going-on-a-study-exchange-to-san-sebastian/"">blog</a> to have a detailed information!</b></p>",,,,,title,,https://farm8.static.flickr.com/7358/10081666366_1c2a016aef.jpg,
2021,1,23,21:30:00,2021,1,24,04:00:00,,Welcome Party at Bataplan,"<p>It's <b>time to celebrate</b> the start of the new semester!</p><p>Join us for the party of the month at the coolest club in town: <a href=""https://www.bataplandisco.com/"">Bataplan!</a> This is the perfect oportunity to meet other students, who you can dance the night away with. Remember, everyone, who signs up beforehand will get a free drink at Bataplan!</p>","https://www.google.com/maps/place/Bataplan/@43.3154761,-1.9909944,17z/data=!3m1!4b1!4m5!3m4!1s0xd51baab3ca1bfc7:0xf4bbfad893109d62!8m2!3d43.3154761!4d-1.9888057",,,,,,,
2021,1,28,19:00:00,2021,1,28,22:00:00,,First Pintxo Pote of the Year,"<p>Come and join us for the first Pintxo Pote of the year!</p><p> <i>Every Thursday we meet at the bar Malandrino</i>, in the district Gros to enjoy some delicious Pintxos and drinks together. Get ready to try the best speciality of the Basque Country, while having great conversations with international and local students. See you there! </p>",http://1.bp.blogspot.com/-MsmD18p4QBc/UgoLyqDyqOI/AAAAAAAAOjQ/Aox596aGuU0/s640/san_sebastian_donostia_english_pintxos_counter.jpg,The London Foodie,Photo by The London Foodie,,,,,
2021,2,6,,2021,2,6,,,Daytrip to Bilbao,"<p>Experience the biggest city in the basque country together with us!</p><p>Bilbao has many things to offer! From being an industrial city in the 19th century it has become one of the most popular cities in Spain. The Guggenheim Museum designed by Frank Gehry is known for its unique architecture all around the world and is definitely worth a visit. In the Old Town you will find yourself in the middle of traditional little restaurants and bars, just waiting to be discovered by you.</p>",https://cms.guggenheim-bilbao.eus/uploads/2019/05/el-edificio-guggenheim-bilbao-1.jpg,Guggenheim Bilbao,Photo by Guggenheim Bilbao Museao,,,,,
2021,2,14,,2021,2,14,,,Tolosa Carnival ,"<p> Don’t miss this unique tradition!</p><p>It’s Carnival time - which means various good opportunities to party with your friends and go crazy! Therefore Tolosa is the place to be, so make sure you get a taste of this unforgettably crazy and colorful atmosphere! Sign up for our trip on time and most importantly: Don’t forget your costume!</p>",https://www.youtube.com/watch?v=c6QtlfZU2Yo,No Comment TV,Video by No Comment TV,,,,,
2021,3,11,,2021,3,14,,,Trip to Aitona Pink Flowers,"<p class=""lead"">A <i>Japanese</i> Spring in Spain</p><p>As the winter comes to an end, the peach tree begins its flowering stage. Do you want to take <b>stunning</b> pictures at this incredible at pink blossom route? Then don't miss this trip! It lasts only <i>2 weeks</i> in a year! Grab your friends and let's dive into this beauty together!</p>",,,,,,,https://fruiturisme.info/wp-content/uploads/2015/12/Banner_RutaFlorRosa_1300x440px_02.jpg,
2021,3,27,,2021,3,27,,,Bordeaux Trip,"<p>One day in France!</p><p>Do you feel like you have had enough Pintxos for a while? Come on and join us on our one day trip to Bordeaux - the south of France, just 2,5 hours away from San Sebastián. This is just the perfect opportunity to taste some excellent wine and explore the city together with your friends.</p><p>Are you in?</p> ","https://www.google.com/maps/dir/San+Sebasti%C3%A1n,+Spanien/Bordeaux,+Frankreich/@44.0657763,-2.2094216,8z/am=t/data=!4m14!4m13!1m5!1m1!1s0xd51affe3b68fe15:0xe43ec55994864649!2m2!1d-1.9812313!2d43.318334!1m5!1m1!1s0xd5527e8f751ca81:0x796386037b397a89!2m2!1d-0.57918!2d44.837789!3e0",,,,,,,
2021,4,16,,2021,4,18,,,Las Fallas de Valencia 2021,"<p class=""lead"">Join us and discover the <b>unique</b> Fallas of Valencia, one of <i>the most famous</i> festivals around spain.</p><p>The passion of the Fallas lovers for their celebration has filled the Fallas week with thousands of things to do: traditional (and not so traditional) music, tonnes of gunpowder, emotive religious acts, paellas in the street…</p><p>Enjoy Fallas with the 5 senses, you must be looking forward to it already!</p>",<iframe>https://www.instagram.com/p/B94B0grqSP1/,,,,,,,LightBlue
2021,5,5,,2021,5,9,,,YEAH IBIZA TRIP!,"<p>YEAH Ibiza Trip is one of the <b>most awaited</b> events between national and international students and we are collaborating with <a href""https://www.sansebastianerasmus.com/yeah-ibiza-trip-2020-english.html"">Happy Erasmus</a> to have a big group of crazy people! Five days of madness with students from all the universities in Spain, all together in the most glamorous island of the country to create a unique party event. It's the best time of the year to visit this wonderful island because at this time it's not overcrowded and the weather is good already. Hundreds of students will come together to spend unforgettable moments. So don't miss out on this trip if you want to experience the <i>best parties</i> of your life. Get ready to spend some crazy days!</p><p><b>Are you ready for the Yeah Ibiza Trip?</b></p>",https://www.youtube.com/watch?v=wMqWMgHvs6Q,Happy Erasmus,Ibiza Trip 2019,,,,,
2021,6,17,22:00:00,2021,6,18,04:00:00,,After Finals Party,"<p>Ready to release all that party energy that got piled up during the last weeks of studying? Perfect!</p><p> At our last event of this academic year, we will host a huge After Finals Party to reward all students for their efforts made this year. One last time, together with <i>DJ Felipe Lira</i>, we will all come together at Bataplan to celebrate the end of the year. See you there!</p>",https://soundcloud.com/felipeliradj/dj-felipe-lira-live-san-sebastian-set2017,DJ Felipe Lira,"Once again, DJ Felipe Lira will be there to celebrate with us!",,,,,SlateBlue
